,label,predict
6103,0,0.007792953268503736
3798,1,0.8991121229895809
802,1,0.967063870198579
11313,0,0.008060488664027464
9286,1,0.9581694229368736
1950,1,0.8478333399740391
158,0,0.001425043143909473
7647,1,0.7540230927405115
8126,0,0.004993658133067096
11314,1,0.9420250002414436
4914,1,0.897089051861343
3440,1,0.9996663824458183
8069,0,0.00012368403468307362
321,1,0.9914989004958839
8164,1,0.9572332004070021
772,0,0.86052802219618
10263,0,0.0006028235410961145
8741,1,0.994851541252556
12182,1,0.9952384654215857
941,0,0.002584176866046921
10209,0,1.535023314404287e-05
2438,0,0.00964066315832454
11903,1,0.9631020265170378
12232,1,0.689426585579871
350,1,0.544778091638594
6896,0,0.0021446171787557027
12137,1,0.9543743042679215
3294,0,0.053912572272007867
6472,0,0.006474537519996186
11477,1,0.9942040363321356
1143,1,0.9994429200660021
7937,0,0.204689890028387
1073,0,0.0007976523795238844
4515,1,0.9966313207697127
2035,1,0.27665518794373944
4971,1,0.9987925392490961
3005,0,0.8002272907450529
2238,1,0.9993075702078164
1332,0,0.0066697294879758725
5802,1,0.9733902069392473
4545,1,0.8134876245139375
1532,0,0.036063077764038325
9753,0,6.1424340298478265e-12
11333,0,0.016924009691803726
3909,1,0.9983360290995266
7920,1,0.7004843491703807
11558,0,0.00033006945268054116
11074,1,0.9667291150761289
3359,1,0.7611384861942657
8776,0,9.00069568323834e-06
8285,0,5.252071298349293e-07
4122,1,0.9987337922070326
8407,0,0.39294033935642636
7385,0,0.0006515971249629537
1022,0,0.09589991197008507
9793,0,0.00028344096391168407
9978,0,0.005998843108694748
12301,1,0.9994724385556607
6292,1,0.9312107538143962
10197,1,0.9999973490348623
6674,1,0.9999287241370132
7351,0,0.9428677539959371
5908,0,0.00020892899520394244
9995,1,0.8326672888002121
11365,1,0.9388728975260838
11261,1,0.9998726011112908
12082,0,0.9979699261400561
9952,1,0.9391191878484765
11543,0,0.0007031418303669424
11935,0,0.004526117434458231
4790,1,0.026591120670430356
1382,1,0.9998470412471185
12469,1,0.9739501509523588
11233,0,0.0654252922397813
10035,1,0.9598272996712122
143,1,0.7823515725142745
9868,1,0.9999999478768651
8099,1,0.9997655858262573
4475,0,0.21873714784248827
9850,0,0.00018252956867305002
122,1,0.969763054074718
3123,0,0.1844926007385593
7242,0,0.3776290115583929
8007,1,0.06182178416480328
797,0,0.9576757255001694
7467,1,0.9799546669571627
9523,1,0.999657900767415
12221,0,0.004374778561706909
8950,1,0.9997402251520039
